ID,CUST_NAME,ADDRESS,CITY,STATE,POSTAL_CODE,EMAIL,ACCOUNT_NO,ACCT_TYPE,OPEN_DATE,STATUS
203,Judy Haza,1348 Liberty Pike,Franklin,Tennessee,37067,jude@haza.com,730001125,MORT,16APR2006:00:00:00.000000,1
204,Eldon Sutch,1818 E Atlantic St,Philadelphia,Pennsylvania,19134,eldon@sutch.com,-730001124,MORT,09JUN2006:00:00:00.000000,1
205,LaShonda Enote,6301 Owensmouth Ave,Woodland Hills,California,91367,lashonda@enote.com,730001123,MORT,15JUL2006:00:00:00.000000,1
206,Marla Folz,201 Electronics Blvd SW,Huntsville,Alabama,35824,marla@folz.com,730001122,MORT,15JUN2006:00:00:00.000000,1
207,Reginald Lunan,985 Parker Court,Santa Clara,California,95050,reginald@lunan.com,730001121,AUTO,02AUG2006:00:00:00.000000,1
208,Kyle Lindauer,2000 E Jefferson St,Phoenix,Arizona,85034,kyle@lindauer.com,730001120,MORT,14AUG2006:00:00:00.000000,1
210,Johnny Minaai,2100 Linwood Ave,Fort Lee,New Jersey,07024,johnie@minaai.com,730001118,MORT,20AUG2006:00:00:00.000000,1
211,Kelly Varrato,2505 Congress St,San Diego,California,92110,kelli@varrato.com,730001117,MORT,27JUL2006:00:00:00.000000,1
212,Neva Marsell,1312 W Lincoln Ave,Olivia,Minnesota,56277,neva@marsell.com,730001116,MORT,08AUG2006:00:00:00.000000,1
213,Brice Hedglin,2809 Granny White Pike,Nashville,Tennessee,37204,brice@hedglin.com,730001115,MORT,21JUL2006:00:00:00.000000,1
214,Terrance Nimmer,1400 N Woodward Ave,Bloomfield Hills,Michigan,,terrance@nimmer.com,730001114,AUTO,21JUN2006:00:00:00.000000,1
215,Carol Krisman,100 E 85th St,New York,New York,10028,carol@krisman.com,730001113,MORT,27JUN2006:00:00:00.000000,1
216,Dolly Pillitteri,4024 Merchant Rd,Fort Wayne,Indiana,46818,dollie@pillitteri.com,730001112,MORT,09JUL2006:00:00:00.000000,1
217,Melissa Sule,92 Argonaut  #270,Aliso Viejo,California,,mellissa@sule.com,730001111,MORT,03JUL2006:00:00:00.000000,1
219,Reina Reisenauer,207 N Main St,Hutchins,Texas,75141,reina@reisenauer.com,730001109,MORT,03JUN2006:00:00:00.000000,1
221,Hilario Cassa,2222 Santa Monica Blvd,Santa Monica,California,90404,hilario@cassa.com,730001107,AUTO,05DEC2005:00:00:00.000000,1
222,Veronica Radman,235 W Main St,Charlottesville,Virginia,22902,veronica@radman.com,730001106,MORT,05NOV2005:00:00:00.000000,1
224,Alyssa Mountjoy,6585 Commerce Blvd,Rohnert Park,California,94928,alissa@mountjoy.com,730001104,MORT,29NOV2005:00:00:00.000000,1
225,Helene Iberg,24800 Rockside Road,Bedford,Ohio,44146,helene@iberg.com,730001103,MORT,23NOV2005:00:00:00.000000,1
226,Laura Miller,350 Peach St,Charlotte,North Carolina,,,730001102,MORT,30OCT2005:00:00:00.000000,1
227,Kristine Branch,800 South Ave Apt. 100,Philadelphia,Pennsylvania,,,730001101,PERSONAL,11NOV2005:00:00:00.000000,1
228,Mitch Schattner,3001 Geary Blvd,San Francisco,California,94118,mitch@schattner.com,730001100,MORT,24OCT2005:00:00:00.000000,1
229,Hans Carlan,509 W 4th Ave,Anchorage,Alaska,99501,hans@carlan.com,730001099,MORT,24SEP2005:00:00:00.000000,1
230,Concetta Sarchett,2405 Grand Blvd,Kansas City,Missouri,64108,concetta@sarchett.com,730001098,AUTO,30SEP2005:00:00:00.000000,1
231,Isaac Zackery,321 Palmer Road,Denville,New Jersey,07834,isaac@zackery.com,730001097,MORT,12OCT2005:00:00:00.000000,1
233,Devon Samrah,1219 Pine Ave,Orlando,Florida,32824,devon@samrah.com,730001095,MORT,06OCT2005:00:00:00.000000,1
234,Amos Linnan,3960 W 26th Street,Chicago,Illinois,60623,amos@linnan.com,730001094,MORT,18OCT2005:00:00:00.000000,1
